device,device_raw,name,name_raw,objid,objid_raw,ip,id_device
CDBUSSWOPIT-RAP11-10,CDBUSSWOPIT-RAP11-10,(10277) CDBUSSWOPIT-RAP05-11 Traffic,(10277) CDBUSSWOPIT-RAP05-11 Traffic,15597,15597,10.224.114.78,12482
CDBUSSWOPIT-RAP11-10,CDBUSSWOPIT-RAP11-10,(10278) CDBUSSWOPIT-RAP33-9 Traffic,(10278) CDBUSSWOPIT-RAP33-9 Traffic,15598,15598,10.224.114.78,12482
CDBUSSWOPIT-RAP11-10,CDBUSSWOPIT-RAP11-10,(10279) CDBUSSWOPIT-TORRE_BRONCE-31 Traffic,(10279) CDBUSSWOPIT-TORRE_BRONCE-31 Traffic,15599,15599,10.224.114.78,12482
CDBUSSWOPIT-TORRE_BRONCE-31,CDBUSSWOPIT-TORRE_BRONCE-31,(10005) Radwin Cerro Bronce Traffic,(10005) Radwin Cerro Bronce Traffic,15637,15637,10.224.114.102,15290
CDBUSSWOPIT-TORRE_BRONCE-31,CDBUSSWOPIT-TORRE_BRONCE-31,(10101) LINK CDBUSSWOPIT-RAP11-10 Traffic,(10101) LINK CDBUSSWOPIT-RAP11-10 Traffic,15638,15638,10.224.114.102,15290
CDBUSSWOPIT-VASCONIA,CDBUSSWOPIT-VASCONIA,(10101) Radwin Vasconia Traffic,(10101) Radwin Vasconia Traffic,15639,15639,10.224.114.105,15292
CDBUSSWOPIT-RAP05-11,CDBUSSWOPIT-RAP05-11,(10277) CDBUSSWOPIT-RAP11 Traffic,(10277) CDBUSSWOPIT-RAP11 Traffic,15587,15587,10.224.114.79,5496
CDBUSSWOPIT-RAP05-11,CDBUSSWOPIT-RAP05-11,(10278) CDBUSSWOPIT-RAP18 Traffic,(10278) CDBUSSWOPIT-RAP18 Traffic,15588,15588,10.224.114.79,5496
CDBUSSWOPIT-RAP18-12,CDBUSSWOPIT-RAP18-12,(10277) CDBUSSWOPIT-RAP05-11 Traffic,(10277) CDBUSSWOPIT-RAP05-11 Traffic,15593,15593,10.224.114.80,5582
CDBUSSWOPIT-RAP18-12,CDBUSSWOPIT-RAP18-12,(10278) CDBUSSWOPIT-RAP01 Traffic,(10278) CDBUSSWOPIT-RAP01 Traffic,15594,15594,10.224.114.80,5582
CDBUSSWOPIT-RAP18-12,CDBUSSWOPIT-RAP18-12,(10279) CDBUSSWOPIT-RAMPA-SUR-20 Traffic,(10279) CDBUSSWOPIT-RAMPA-SUR-20 Traffic,15595,15595,10.224.114.80,5582
CDBUSSWOPIT-RAP18-12,CDBUSSWOPIT-RAP18-12,(10284) EB-Radwin-Neumap29 Traffic,(10284) EB-Radwin-Neumap29 Traffic,18599,18599,10.224.114.80,5582
CDBUSSWOPIT-RAMPA-SUR-20,CDBUSSWOPIT-RAMPA-SUR-20,(10101) LINK CDBUSSWOPIT-RAP18-12 Traffic,(10101) LINK CDBUSSWOPIT-RAP18-12 Traffic,15648,15648,10.224.114.89,15644
CDBUSSWOPIT-RAP01-13,CDBUSSWOPIT-RAP01-13,(10277) CDBUSSWOPIT-RAP19-17 Traffic,(10277) CDBUSSWOPIT-RAP19-17 Traffic,15589,15589,10.224.114.81,5513
CDBUSSWOPIT-RAP01-13,CDBUSSWOPIT-RAP01-13,(10278) CDBUSSWOPIT-RAP18 Traffic,(10278) CDBUSSWOPIT-RAP18 Traffic,15590,15590,10.224.114.81,5513
CDBUSSWOPIT-RAP19-16,CDBUSSWOPIT-RAP19-16,(10277) CDBUSSWOPIT-ANDENSUR-3 Traffic,(10277) CDBUSSWOPIT-ANDENSUR-3 Traffic,16561,16561,10.224.114.85,5568
CDBUSSWOPIT-RAP19-16,CDBUSSWOPIT-RAP19-16,(10278) CDBUSSWOPIT-RAP01 Traffic,(10278) CDBUSSWOPIT-RAP01 Traffic,16562,16562,10.224.114.85,5568
CORE_OPIT_ADM,CORE_OPIT_ADM,(10102) Gi1/0/2 SW CISCO MESH CONC Traffic,(10102) Gi1/0/2 SW CISCO MESH CONC Traffic,17757,17757,10.224.125.220,15692
CORE_OPIT_ADM,CORE_OPIT_ADM,(10608) Gi2/0/8 SW CISCO MESH CONC Traffic,(10608) Gi2/0/8 SW CISCO MESH CONC Traffic,17758,17758,10.224.125.220,15692
CORE_OPIT_CONC,CORE_OPIT_CONC,(10101) Gi1/0/1 CORE-MESH-ADMON Traffic,(10101) Gi1/0/1 CORE-MESH-ADMON Traffic,17759,17759,10.224.125.219,15690
CORE_OPIT_CONC,CORE_OPIT_CONC,(10106) Gi1/0/6 CORE-MESH-ADMON Traffic,(10106) Gi1/0/6 CORE-MESH-ADMON Traffic,17760,17760,10.224.125.219,15690
CORE_OPIT_CONC,CORE_OPIT_CONC,(10102) Gi1/0/2 - CDBUSSWOPIT-TK4000 Traffic,(10102) Gi1/0/2 - CDBUSSWOPIT-TK4000 Traffic,17761,17761,10.224.125.219,15690
CORE_OPIT_CONC,CORE_OPIT_CONC,(10107) Gi1/0/7 CDBUSSWOPIT-ANDENSUR Traffic,(10107) Gi1/0/7 CDBUSSWOPIT-ANDENSUR Traffic,17762,17762,10.224.125.219,15690
