1,10.117.115.110,Pala 10,P10
2,10.117.115.111,Pala 11,P11
3,10.117.115.112,Pala 12,P12
4,10.117.115.180,Pala 18,P18
5,10.117.115.181,Pala 19,P19
6,10.117.115.121,Pala 21,P21
7,10.117.115.122,Pala 22,P22
8,10.117.115.182,Pala 23,P23
9,10.117.115.183,Pala 60,P60
10,10.117.115.184,Pala 61,P61
