1,CLCANDCPTD01,Dominio Primario,10.224.204.6
2,CLCANDCPTD02,Dominio Secundario,10.224.204.7
3,CLCANASPTDAS01,Aspecto Primario,10.224.204.11
4,CLCANASPTDAS02,Aspecto Secundario,10.224.204.12
5,CLCANASPTDCS01,Conectivity 1,10.224.204.21
6,CLCANASPTDCS02,Conectivity 2,10.224.204.22
7,CLCANASPTDIM01,Historico,10.224.204.51
8,CLCANWKPTDOP01,WS desaladora,10.224.204.81
9,CLCANWKPTDOP02,WS desaladora (Fallo),10.224.204.82
10,CLCANWKPTDOP03,WS desaladora ,10.224.204.83
11,CLCANWKPTDOP04,WS desaladora,10.224.204.84
12,CLCANWKPTDOP05,WS Bodega,10.224.204.85
13,CLCANWKPTDOP06,WS desaladora Full screen,10.224.204.86
14,CLCANWKPTDOP07,WS Concentradora,10.224.204.87
15,CLCANWKPTDOP08,Spare (WS Desaladora),10.224.204.88
16,CLCANVHPTD01,ESX primario,10.224.204.121
17,CLCANVHPTD02,ESX secundario,10.224.204.122
18,CLCANDCPTD01,Dominio Primario,10.225.204.6
19,CLCANDCPTD02,Dominio Secundario,10.225.204.7
20,CLCANASPTDAS01,Aspecto Primario,10.225.204.11
21,CLCANASPTDAS02,Aspecto Secundario,10.225.204.12
22,CLCANASPTDCS01,Conectivity 1,10.225.204.21
23,CLCANASPTDCS02,Conectivity 2,10.225.204.22
24,CLCANASPTDIM01,Historico,10.225.204.51
25,CLCANWKPTDOP01,WS desaladora,10.225.204.81
26,CLCANWKPTDOP02,WS desaladora (Fallo),10.225.204.82
27,CLCANWKPTDOP03,WS desaladora ,10.225.204.83
28,CLCANWKPTDOP04,WS desaladora,10.225.204.84
29,CLCANWKPTDOP05,WS Bodega,10.225.204.85
30,CLCANWKPTDOP06,WS desaladora Full screen,10.225.204.86
31,CLCANWKPTDOP07,WS Concentradora,10.225.204.87
32,CLCANWKPTDOP08,Spare (WS Desaladora),10.225.204.88
