94,Camion 212,VIMS,10.117.124.212,n,n,n,n
95,Camion 212,UMAN Replacement,10.117.126.100,n,n,n,n
96,Camion 212,LAB Support,10.117.123.99,n,n,n,n
97,Camion 213,Cisco AP,10.117.115.213,n,n,n,n
98,Camion 213,Cisco RO,10.117.116.213,n,n,n,n
99,Camion 213,Dispatch,10.117.123.213,n,n,n,n
100,Camion 213,MEM,10.117.122.213,n,n,n,n
101,Camion 213,UMAN,10.117.126.213,n,n,n,n
102,Camion 213,VIMS,10.117.124.213,n,n,n,n
103,Camion 213,UMAN Replacement,10.117.126.100,n,n,n,n
104,Camion 213,LAB Support,10.117.123.99,n,n,n,n
105,Camion 214,Cisco AP,10.117.115.214,n,n,n,n
106,Camion 214,Cisco RO,10.117.116.214,n,n,n,n
107,Camion 214,Dispatch,10.117.123.214,n,n,n,n
108,Camion 214,MEM,10.117.122.214,n,n,n,n
109,Camion 214,UMAN,10.117.126.214,n,n,n,n
110,Camion 214,VIMS,10.117.124.214,n,n,n,n
111,Camion 214,UMAN Replacement,10.117.126.100,n,n,n,n
112,Camion 214,LAB Support,10.117.123.99,n,n,n,n
113,Camion 215,Cisco AP,10.117.115.215,n,n,n,n
114,Camion 215,Cisco RO,10.117.116.215,n,n,n,n
115,Camion 215,Dispatch,10.117.123.215,n,n,n,n
116,Camion 215,MEM,10.117.122.215,n,n,n,n
117,Camion 215,UMAN,10.117.126.215,n,n,n,n
118,Camion 215,VIMS,10.117.124.215,n,n,n,n
119,Camion 215,UMAN Replacement,10.117.126.100,n,n,n,n
120,Camion 215,LAB Support,10.117.123.99,n,n,n,n
121,Camion 216,Cisco AP,10.117.115.216,n,n,n,n
122,Camion 216,Cisco RO,10.117.116.216,n,n,n,n
123,Camion 216,Dispatch,10.117.123.216,n,n,n,n
124,Camion 216,MEM,10.117.122.216,n,n,n,n
125,Camion 216,UMAN,10.117.126.216,n,n,n,n
126,Camion 216,VIMS,10.117.124.216,n,n,n,n
127,Camion 216,UMAN Replacement,10.117.126.100,n,n,n,n
128,Camion 216,LAB Support,10.117.123.99,n,n,n,n
129,Camion 217,Cisco AP,10.117.115.217,n,n,n,n
130,Camion 217,Cisco RO,10.117.116.217,n,n,n,n
131,Camion 217,Dispatch,10.117.123.217,n,n,n,n
132,Camion 217,MEM,10.117.122.217,n,n,n,n
133,Camion 217,UMAN,10.117.126.217,n,n,n,n
134,Camion 217,VIMS,10.117.124.217,n,n,n,n
135,Camion 217,UMAN Replacement,10.117.126.100,n,n,n,n
136,Camion 217,LAB Support,10.117.123.99,n,n,n,n
137,Camion 218,Cisco AP,10.117.115.218,n,n,n,n
138,Camion 218,Cisco RO,10.117.116.218,n,n,n,n
139,Camion 218,Dispatch,10.117.123.218,n,n,n,n
140,Camion 218,MEM,10.117.122.218,n,n,n,n
141,Camion 218,UMAN,10.117.126.218,n,n,n,n
142,Camion 218,VIMS,10.117.124.218,n,n,n,n
143,Camion 218,UMAN Replacement,10.117.126.100,n,n,n,n
144,Camion 218,LAB Support,10.117.123.99,n,n,n,n
145,Camion 219,Cisco AP,10.117.115.219,n,n,n,n
146,Camion 219,Cisco RO,10.117.116.219,n,n,n,n
147,Camion 219,Dispatch,10.117.123.219,n,n,n,n
148,Camion 219,MEM,10.117.122.219,n,n,n,n
149,Camion 219,UMAN,10.117.126.219,n,n,n,n
150,Camion 219,VIMS,10.117.124.219,n,n,n,n
151,Camion 219,UMAN Replacement,10.117.126.100,n,n,n,n
152,Camion 219,LAB Support,10.117.123.99,n,n,n,n
153,Camion 220,Cisco AP,10.117.115.220,n,n,n,n
154,Camion 220,Cisco RO,10.117.116.220,n,n,n,n
155,Camion 220,Dispatch,10.117.123.220,n,n,n,n
156,Camion 220,MEM,10.117.122.220,n,n,n,n
157,Camion 220,UMAN,10.117.126.220,n,n,n,n
158,Camion 220,VIMS,10.117.124.220,n,n,n,n
159,Camion 220,UMAN Replacement,10.117.126.100,n,n,n,n
160,Camion 220,LAB Support,10.117.123.99,n,n,n,n
161,Camion 221,Cisco AP,10.117.115.32,n,n,n,n
