"id";"ubication";"device";"client";"last_mac";"current_mac";"note";"last_change_date";"status";"prtg_status";"prtg_id";"status_num_clients"
"51";"Camion 207";"Dispatch";"10.117.123.207";"Not Found";"0080.0701.128a";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
"52";"Camion 207";"MEM";"10.117.122.207";"Not Found";"0013.9533.b530";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
"53";"Camion 207";"UMAN";"10.117.126.207";"Not Found";"b827.eb2d.d0ae";"No data";"2024-08-30 17:07:53";"N/A";"Not Found";"0";"N/A"
"54";"Camion 207";"VIMS";"10.117.124.207";"Not Found";"000a.7511.7d41";"No data";"2024-09-04 08:22:01";"N/A";"Not Found";"0";"N/A"
"57";"Camion 208";"Cisco AP";"10.117.115.208";"Not Found";"00a5.bf2f.4490";"No data";"2024-09-05 12:18:08";"ok";"Not Found";"0";"ok"
"58";"Camion 208";"Cisco RO";"10.117.116.208";"Not Found";"00a5.bf2f.4470";"No data";"2024-09-05 12:18:08";"N/A";"Not Found";"0";"N/A"
"59";"Camion 208";"Dispatch";"10.117.123.208";"Not Found";"0080.0700.f6ea";"No data";"2024-09-05 12:18:08";"N/A";"Not Found";"0";"N/A"
"60";"Camion 208";"MEM";"10.117.122.208";"Not Found";"0013.9533.b52c";"No data";"2024-09-05 12:18:08";"N/A";"Not Found";"0";"N/A"
"61";"Camion 208";"UMAN";"10.117.126.208";"Not Found";"b827.eb9f.dcde";"No data";"2024-09-05 12:18:08";"N/A";"Not Found";"0";"N/A"
"62";"Camion 208";"VIMS";"10.117.124.208";"Not Found";"000a.7511.7bcc";"No data";"2024-09-05 12:18:08";"N/A";"Not Found";"0";"N/A"
"65";"Camion 209";"Cisco AP";"10.117.115.209";"2c5a.0f10.c5ca";"Not Found";"No data";"2024-09-03 04:46:28";"ok";"Not Found";"0";"ok"
"66";"Camion 209";"Cisco RO";"10.117.116.209";"0027.e3c7.5600";"Not Found";"No data";"2024-09-03 04:46:28";"N/A";"Not Found";"0";"N/A"
"67";"Camion 209";"Dispatch";"10.117.123.209";"0080.0701.0e69";"Not Found";"No data";"2024-09-01 13:31:35";"N/A";"Not Found";"0";"N/A"
"68";"Camion 209";"MEM";"10.117.122.209";"Not Found";"0090.fb70.3f6d";"No data";"2024-09-05 15:55:11";"N/A";"Not Found";"0";"N/A"
"69";"Camion 209";"UMAN";"10.117.126.209";"b827.eb52.e2f8";"Not Found";"No data";"2024-08-26 10:44:42";"N/A";"Not Found";"0";"N/A"
"70";"Camion 209";"VIMS";"10.117.124.209";"000a.7511.7bb0";"Not Found";"No data";"2024-09-01 15:29:24";"N/A";"Not Found";"0";"N/A"
"73";"Camion 210";"Cisco AP";"10.117.115.210";"Not Found";"f80b.cbd8.8ce4";"No data";"2024-09-02 16:04:17";"ok";"Not Found";"0";"ok"
"74";"Camion 210";"Cisco RO";"10.117.116.210";"Not Found";"a023.9fe5.6680";"No data";"2024-08-31 23:19:07";"N/A";"Not Found";"0";"N/A"
"75";"Camion 210";"Dispatch";"10.117.123.210";"Not Found";"0080.0701.12c8";"No data";"2024-08-31 23:19:07";"N/A";"Not Found";"0";"N/A"
"76";"Camion 210";"MEM";"10.117.122.210";"Not Found";"0013.951a.fc93";"No data";"2024-08-31 23:19:07";"N/A";"Not Found";"0";"N/A"
"77";"Camion 210";"UMAN";"10.117.126.210";"Not Found";"b827.eb75.ee1a";"No data";"2024-08-31 23:19:07";"N/A";"Not Found";"0";"N/A"
"78";"Camion 210";"VIMS";"10.117.124.210";"Not Found";"000a.7511.7b9f";"No data";"2024-08-31 23:19:07";"N/A";"Not Found";"0";"N/A"
"81";"Camion 211";"Cisco AP";"10.117.115.211";"003c.108d.19b4";"Not Found";"No data";"2024-09-05 09:00:26";"ok";"Not Found";"0";"ok"
"82";"Camion 211";"Cisco RO";"10.117.116.211";"003c.108d.1994";"Not Found";"No data";"2024-09-05 09:00:26";"N/A";"Not Found";"0";"N/A"
"83";"Camion 211";"Dispatch";"10.117.123.211";"0080.0701.1240";"Not Found";"No data";"2024-09-05 09:00:26";"N/A";"Not Found";"0";"N/A"
"84";"Camion 211";"MEM";"10.117.122.211";"0013.952f.1691";"Not Found";"No data";"2024-09-05 09:00:26";"N/A";"Not Found";"0";"N/A"
"85";"Camion 211";"UMAN";"10.117.126.211";"b827.eb75.98f1";"Not Found";"No data";"2024-09-05 09:00:26";"N/A";"Not Found";"0";"N/A"
"86";"Camion 211";"VIMS";"10.117.124.211";"000a.7511.7bdf";"Not Found";"No data";"2024-09-05 09:00:26";"N/A";"Not Found";"0";"N/A"
"89";"Camion 212";"Cisco AP";"10.117.115.212";"Not Found";"d4ad.bdf3.6746";"No data";"2024-08-30 21:04:11";"ok";"Not Found";"0";"ok"
"90";"Camion 212";"Cisco RO";"10.117.116.212";"Not Found";"d4ad.bdf3.6726";"No data";"2024-08-19 10:55:43";"N/A";"Not Found";"0";"N/A"
"91";"Camion 212";"Dispatch";"10.117.123.212";"Not Found";"0080.0701.125e";"No data";"2024-08-17 13:43:44";"N/A";"Not Found";"0";"N/A"
"92";"Camion 212";"MEM";"10.117.122.212";"Not Found";"0013.952e.629e";"No data";"2024-08-17 13:43:44";"N/A";"Not Found";"0";"N/A"
